اسم البرنامج,الرابط القصير,الرابط الطويل,الإحداثيات
فُلك فَلك,https://maps.app.goo.gl/98Rrb3NTn63jogAq7,"https://maps.google.com/maps?q=%D8%AF%D8%A7%D8%B1+%D9%85%D8%B3%D9%83+%D9%84%D8%AA%D8%AD%D9%81%D9%8A%D8%B8+%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86+%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85+%D8%A8%D8%AD%D9%8A+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9%D8%8C+%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%8C+%D8%AD%D9%8A+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14261&ftid=0x3e2f07c057d51ded:0xa68c862f1a286f22&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,94286869&g_ep=CAISEjI1LjQ0LjIuODI0NjIxMzk2MBgAIIgnKj8sOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsOTQyODY4NjlCAlNB&skid=6f033c33-9308-4e74-89d6-f1d937a98d99",لا توجد إحداثيات
ثروة 3,https://maps.app.goo.gl/dZLmYuQiebZwBsEE9,https://www.google.com/maps/place/%D9%86%D8%A7%D8%AF%D9%8A+%D8%AF%D9%8A%D9%85%D8%8C+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D8%AE%D8%B1%D8%AC%D8%8C+%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D8%AF%D9%8A%D8%A9%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12875%E2%80%AD/data=!4m2!3m1!1s0x3e2f09a045dc73ed:0x6646dc9cd0961ba2?utm_source=mstt_1&entry=gps&g_ep=CAESCTExLjU1LjgwMhgAIP___________wEqAA%3D%3D,لا توجد إحداثيات
صيفُنا أثر,https://maps.app.goo.gl/pNQE9s8SYcibgonA7,"https://maps.google.com/maps?q=RMG2+VGF+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D8%A7%D9%84%D8%AC%D8%AD%D9%84%D8%A7%D9%86%D8%8C+%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B3%D9%8A%D8%A9%D8%8C+%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+13326&ftid=0x3e2ee4be1e7a2ecb:0x3d36473c00e79e21&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIyLjIuOTIxMTAxNzU3MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=9f509bd3-96e7-4f8c-a23a-28f84a30ab08",لا توجد إحداثيات
نبض,https://goo.gl/maps/KAgdGEK1M1cMPNjC6,"https://maps.google.com/maps?q=24.730051,46.657001&entry=gps&g_ep=CAESBzI2LjIzLjEYACCenQoqgQEsOTQyNjc3MjcsOTQyOTIxOTUsOTQyOTk1MzIsMTAwNzk2NDk4LDEwMDc5Nzc2MSwxMDA3OTY1MzUsOTQyODA1NzYsOTQyMDczOTQsOTQyMDc1MDYsOTQyMDg1MDYsOTQyMTg2NTMsOTQyMjk4MzksOTQyNzUxNjgsOTQyNzk2MTlCAlNB&skid=73225524-26e8-4834-924d-8bff5cdff157&shorturl=1",لا توجد إحداثيات
صيف الرسالة,https://maps.app.goo.gl/otHMWR2oVw5mXNZDA,"https://maps.google.com/maps?q=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9+%D9%84%D9%84%D9%81%D8%AA%D9%8A%D8%A7%D8%AA,+8366+Umm+Salam,+King+Fahd,+Riyadh+12274&ftid=0x3e2efd52e3fd0569:0xaa11eff26cc38d46&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIxLjEuOTE3Mzg1NDY3MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=cd2fd708-a0a3-4178-a625-061116b4479a",لا توجد إحداثيات
فجر,https://maps.app.goo.gl/r4Gr9h1LZoRKXHxh9,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D9%88%D8%A7%D9%81%D8%B1+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9%E2%80%AD/@24.7743713,46.6305807,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee3d2ab5d7337:0xdd26ceb13e56a572!8m2!3d24.7743713!4d46.6305807!16s%2Fg%2F11l325hd0m?entry=tts&g_ep=EgoyMDI2MDYwMy4xIPu8ASoASAFQAw%3D%3D&skid=dedca430-8e91-407a-acb0-3d4e89bc32bc","24.7743713, 46.6305807"
صيف باسقة,https://goo.gl/maps/KAgdGEK1M1cMPNjC6,"https://maps.google.com/maps?q=24.730051,46.657001&entry=gps&g_ep=CAESBzI2LjIzLjEYACCenQoqgQEsOTQyNjc3MjcsOTQyOTIxOTUsOTQyOTk1MzIsMTAwNzk2NDk4LDEwMDc5Nzc2MSwxMDA3OTY1MzUsOTQyODA1NzYsOTQyMDczOTQsOTQyMDc1MDYsOTQyMDg1MDYsOTQyMTg2NTMsOTQyMjk4MzksOTQyNzUxNjgsOTQyNzk2MTlCAlNB&skid=73225524-26e8-4834-924d-8bff5cdff157&shorturl=1",لا توجد إحداثيات
صحبة ٢,https://maps.app.goo.gl/VtLAaZfMDjdpHiCD8,"https://maps.google.com/maps?q=GPW2+R6R+%E2%80%8F%E2%80%8F%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%B4%D9%8A%D9%85%D8%A7%D8%A1+%D8%A8%D9%86%D8%AA+%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB+%D8%A7%D9%84%D8%AA%D8%A7%D8%A8%D8%B9+%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8+%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D9%85%D9%83%D9%86%D9%88%D9%86%D8%8C+%D8%A7%D9%84%D8%A7%D8%B4%D8%B1%D8%A7%D9%81%D8%8C+%D8%A8%D8%AF%D8%B1%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14724&ftid=0x3e2f0e5cc16c69bb:0x4b5b048b0433012e&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=d7877c80-272a-4042-aa37-6404d1d567de",لا توجد إحداثيات
مرتقى المعاهدة,https://maps.app.goo.gl/nwPgqbbEZWJ1B5wB9,"https://maps.google.com/maps?q=%D8%B4%D8%B1%D9%83%D8%A9+%D8%A5%D8%AB%D8%B1%D8%A7%D8%A1+%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9%D8%8C+%D8%A7%D9%84%D8%A8%D8%AD%D8%B1+%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7%D8%8C+%D8%A7%D9%84%D8%B9%D9%82%D9%8A%D9%82%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+13515&ftid=0x3e2ee3c78efd84bd:0xb67ddcc8fdf6be70&entry=gps&lucs=,94231188,47071704,94218641,94282134,94286869&g_ep=CAISEjI1LjIyLjAuNzYzNTE5NzAyMBgAINeCAyotLDk0MjMxMTg4LDQ3MDcxNzA0LDk0MjE4NjQxLDk0MjgyMTM0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=201b881e-7c0f-4ef6-893e-452741527daf",لا توجد إحداثيات
تمكين,https://maps.app.goo.gl/Kc8A4hkCntGF7bNc6,"https://maps.google.com/maps?q=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A1+%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A+%D9%84%D9%84%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8%D8%8C+%D8%A7%D9%84%D8%A8%D8%AD%D8%B1+%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7%D8%8C+%D8%A7%D9%84%D8%B9%D9%82%D9%8A%D9%82%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+11564&ftid=0x3e2ee39649d3dff5:0x515628ad7aa11650&entry=gps&lucs=,94231188,47071704,94218641,94282134,94286869&g_ep=CAISEjI1LjIyLjAuNzYzNTE5NzAyMBgAINeCAyotLDk0MjMxMTg4LDQ3MDcxNzA0LDk0MjE4NjQxLDk0MjgyMTM0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=0c9dcc33-b345-48ab-ac07-f06f1d36f050",لا توجد إحداثيات
سرج,https://maps.app.goo.gl/DDPr5h9hTDb6uunC6,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=46a5e0a8-fa98-468d-99c8-8dcd536b3288",لا توجد إحداثيات
ألق تِك,https://maps.app.goo.gl/qmDxPKNeJpAyYZqX7,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=d2c59942-14a2-455f-bd61-d6bed1e7d093",لا توجد إحداثيات
حصن,https://maps.app.goo.gl/rRuDswNCwaErrp5cA,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=31dc666c-3418-49d9-a0c4-1e867704bf22",لا توجد إحداثيات
بواكير,https://maps.app.goo.gl/rRuDswNCwaErrp5cA,"https://maps.google.com/maps?q=%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%A1+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%D8%8C+7565%D8%8C+3470+%D8%B7%D9%84%D8%AD%D8%A9+%D8%A8%D9%86+%D8%B9%D8%A8%D9%8A%D8%AF+%D8%A7%D9%84%D9%84%D9%87%D8%8C+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+14251&ftid=0x3e2f0704b1823aa3:0x60551e6aee02e0a6&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjIzLjUuOTI0MzY0MTg2MBgAIIgnKkksOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=31dc666c-3418-49d9-a0c4-1e867704bf22",لا توجد إحداثيات
اللبنة الرابعة,https://share.google/i6Tuit7y8oLNJAtk4,⚠️ رابط غير واضح: https://www.google.com/share.google?q=i6Tuit7y8oLNJAtk4,لا توجد إحداثيات
صيف نبع 2026,https://maps.app.goo.gl/xs1PkAdR8rDE9H8h7,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D8%B1%D9%82+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%D8%8C+%D8%AC%D9%84%D9%88%D9%8A+%D8%A8%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AD%D8%B3%D9%86%D8%8C+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+42421&ftid=0x3e2f076b3eae8fe1:0x9aadedcf3c5ce9ab&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,100809209,94218641,94282134,100813469,94286869&g_ep=CAISEjI2LjIxLjEuOTE3Mzg1NDY3MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsMTAwODA5MjA5LDk0MjE4NjQxLDk0MjgyMTM0LDEwMDgxMzQ2OSw5NDI4Njg2OUICU0E%3D&skid=efd8aafe-701f-49ed-abe8-e62a101ae1a8",لا توجد إحداثيات
