اسم البرنامج,الرابط القصير,الرابط الطويل,الإحداثيات
رحلة غرس,https://maps.app.goo.gl/RjuLbHFgk7wHnBaY7,https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D8%B5%D8%A7%D9%86%D8%B9+%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A+%D8%A8%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A%D8%8C+2857+%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A+%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%8C+%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12794+7805+%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A+%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%8C+7805%D8%8C+%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12794%E2%80%AD/data=!4m2!3m1!1s0x3e2f10013d68c899:0xdd4d3673d65193e2!18m1!1e1?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI2LjIzLjEYACDXggMqlQEsOTQyNjc3MjcsOTQyOTIxOTUsOTQyOTk1MzIsMTAwNzk2NDk4LDEwMDc5Nzc2MSwxMDA3OTY1MzUsOTQyODA1NzYsOTQyMDczOTQsOTQyMDc1MDYsOTQyMDg1MDYsOTQyMTg2NTMsOTQyMjk4MzksOTQyNzUxNjgsOTQyNzk2MTksMTAwNzkyNTY4LDEwMDgyMDIzN0ICU0E%3D&skid=33d3e849-130a-4933-80f6-c0c1184ba8f4,لا توجد إحداثيات
صيف سمو,https://maps.app.goo.gl/YKwzefKk1D4DNSjJ8,"https://www.google.com/maps/place/24.842817,46.602319/data=!4m6!3m5!1s0!7e2!8m2!3d24.8428173!4d46.6023195!18m1!1e1?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI2LjI0LjQYACDl7Q0qiwEsOTQyNjc3MjcsOTQyOTIxOTUsOTQyOTk1MzIsMTAwNzk2NDk4LDEwMDc5Nzc2MSwxMDA3OTY1MzUsOTQyODA1NzYsOTQyMDczOTQsOTQyMDc1MDYsOTQyMDg1MDYsOTQyMTg2NTMsOTQyMjk4MzksOTQyNzUxNjgsOTQyNzk2MTksMTAwODEyOTk0QgJTQQ%3D%3D&skid=7a311b28-8663-4f10-9f5d-b5efc67b4ffa","24.8428173, 46.6023195"
رحلة بين الهوايات,https://maps.app.goo.gl/nLs7A4UajHjMaX1V9,"https://maps.google.com/maps?q=%D8%A7%D9%86%D8%A8%D9%84%D8%A7%D8%AC%D8%8C+4395+7080+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%A8%D9%86+%D8%B3%D8%B9%D8%AF+%D8%A8%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D8%8C+%D8%A7%D9%84%D8%B9%D9%82%D9%8A%D9%82%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+13516&ftid=0x3e2ee300135c12f5:0x21eb7c5a4906900f&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869,100813009&g_ep=CAISEjI2LjI0LjEuOTI4MjM2NTIyMBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5LDEwMDgxMzAwOUICU0E%3D&skid=d17bf128-7544-4c25-b59d-17bb51be98d1",لا توجد إحداثيات
جناح ٤٨,https://maps.app.goo.gl/KUuAC1UpdiFd5CgEA,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%B1%D8%B3%D8%A9+%D8%B9%D8%A7%D8%A6%D8%B4%D8%A9+%D8%A8%D9%86%D8%AA+%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86+%D8%A7%D9%84%D8%B1%D8%A7%D8%AC%D8%AD%D9%8A+%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85+%D8%A7%D9%84%D9%82%D8%B1%D8%A1%D8%A7%D9%86+%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85%D8%8C+3850+%D9%85%D8%B5%D8%A7%D9%81%D9%8A%D8%8C+%D8%B4%D8%A8%D8%B1%D8%A7%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12798&ftid=0x3e2f0fe465074863:0xfee6709e084d0e27&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,94286869&g_ep=CAISEjI1LjQ3LjAuODMzNTQyOTMwMBgAINeCAyo_LDk0Mjk3Njk5LDk0MjMxMTg4LDk0MjgwNTY4LDQ3MDcxNzA0LDk0MjE4NjQxLDk0MjgyMTM0LDk0Mjg2ODY5QgJTQQ%3D%3D&skid=8843354c-ad0f-45c2-aca0-72e54ee83f08",لا توجد إحداثيات
جناح 48 الصيفي,https://maps.app.goo.gl/7ApGjQbvTeijyDaB7,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%B1%D8%B3%D8%A9+%D8%B9%D8%A7%D8%A6%D8%B4%D8%A9+%D8%A8%D9%86%D8%AA+%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86+%D8%A7%D9%84%D8%B1%D8%A7%D8%AC%D8%AD%D9%8A+%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85+%D8%A7%D9%84%D9%82%D8%B1%D8%A1%D8%A7%D9%86+%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85%D8%8C+3850+%D9%85%D8%B5%D8%A7%D9%81%D9%8A%D8%8C+%D8%B4%D8%A8%D8%B1%D8%A7%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12798&ftid=0x3e2f0fe465074863:0xfee6709e084d0e27&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869,100820242,100813009&g_ep=CAISEjI2LjIwLjQuOTEzODcwMjQ0MBgAIIgnKl0sOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY0LDk0Mjg2ODY5LDEwMDgyMDI0MiwxMDA4MTMwMDlCAlNB&skid=c6c2c98f-feaa-4b72-af51-612c84529255",لا توجد إحداثيات
مدار - المركز المتقدم,https://maps.app.goo.gl/aV4pFT1rthX7opSm7,"https://www.google.com/maps/place/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9+%D8%B1%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9%E2%80%AD/@24.760828,46.7228874,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2efd8804f1c88d:0x690ca1bd642f26cc!8m2!3d24.7608232!4d46.7203125!16s%2Fg%2F11c30xc9pd?entry=tts&g_ep=EgoyMDI2MDYxMy4wIPu8ASoASAFQAw%3D%3D&skid=b10a6f0b-4972-43d8-b1e0-30511bd6f7b8","24.760828, 46.7228874"
مدار - رواد الخليج,https://maps.app.goo.gl/n3fFsFN4FQQ6wVV99,"https://www.google.com/maps/place/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D9%85%D8%AA%D9%82%D8%AF%D9%85%D8%A9+%D8%AD%D9%8A+%D8%A7%D9%84%D9%82%D9%8A%D8%B1%D9%88%D8%A7%D9%86%E2%80%AD/@24.8274186,46.5889218,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee700375cfe3f:0xbd9ef39dadb3a86d!8m2!3d24.8274138!4d46.5863469!16s%2Fg%2F11w3n5cs0k?entry=tts&g_ep=EgoyMDI2MDYxMy4wIPu8ASoASAFQAw%3D%3D&skid=a8c0ca3a-907f-452e-a4ad-c3b3619cad24","24.8274186, 46.5889218"
قاطرة عجائب 2,https://maps.app.goo.gl/gzC8WR2LehHcbRZ78,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9+%D8%A8%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D8%B9%D8%A9%E2%80%AD/@24.5904327,46.6467084,18z/data=!4m6!3m5!1s0x3e2f1b75a34579b1:0x397f08e2a94960eb!8m2!3d24.5901397!4d46.6450045!16s%2Fg%2F11gk8swqqv?entry=tts&g_ep=EgoyMDI2MDUxMy4wIPu8ASoASAFQAw%3D%3D&skid=e17ab563-149f-4139-9c0d-3437fd21b344","24.5904327, 46.6467084"
رَغِيـد,https://maps.app.goo.gl/Czq4SWdiAu9RkpMv5,"https://maps.google.com/maps?q=%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D9%85+%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D9%87+-+%D8%A8%D9%86%D8%A7%D8%AA%D8%8C+%D8%B9%D8%AA%D9%8A%D9%82+%D8%A7%D9%84%D9%85%D8%B7%D9%8A%D8%B1%D9%8A%D8%8C+3624+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D9%84%D9%8A+%D8%AC%D9%86%D8%A7%D8%AD%D8%8C+%D8%BA%D8%B1%D9%86%D8%A7%D8%B7%D8%A9%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+13241&ftid=0x3e2efddd54f9526f:0x7236760d13397f0a&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813464,94286869&g_ep=CAISEjI2LjI0LjEuOTI4MjM2NTIyMBgAINeCAypJLDk0Mjk3Njk5LDk0MjMxMTg4LDk0MjgwNTY4LDQ3MDcxNzA0LDk0MjE4NjQxLDk0MjgyMTM0LDEwMDgxMzQ2NCw5NDI4Njg2OUICU0E%3D&skid=dacef845-f1e4-4a3e-ad4b-bb3bf4a26ff2",لا توجد إحداثيات
مآب,https://maps.app.goo.gl/9oZXoBRRUyaohMqR6,"https://maps.google.com/maps?q=%D8%AF%D8%A7%D8%B1+%D9%84%D8%B7%D9%8A%D9%81%D8%A9+%D8%A7%D9%84%D8%AD%D9%85%D8%AF%D8%A7%D9%86+%D9%84%D8%AA%D8%AD%D9%81%D9%8A%D8%B8+%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86+%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85,+4422+8568+%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB+%D8%A7%D9%84%D8%A7%D8%B4%D8%B9%D8%B1%D9%89%D8%8C,+%D8%A7%D9%84%D8%B9%D8%A7%D8%B1%D8%B6%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+13331&ftid=0x3e2ee5f770662dbd:0x47442ce906f9e776&entry=gps&shh=CAE&lucs=,94297699,94231188,94280568,47071704,94218641,94282134,100813469,94286869,100820247&g_ep=CAISEjI2LjE3LjIuOTAyNzg4MTI0MBgAIIgnKlMsOTQyOTc2OTksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsMTAwODEzNDY5LDk0Mjg2ODY5LDEwMDgyMDI0N0ICU0E%3D&skid=fef9abe4-a9bd-4537-ac45-85f7926cba5d",لا توجد إحداثيات
وِصال,https://maps.app.goo.gl/pAwnqsNA13hpPfYJ9,https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D9%83%D9%88%D9%86+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%D8%A9+%D9%84%D9%84%D8%B1%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D8%A8%D9%8A%D8%A9%D8%8C+4705+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D8%8C+%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%8A%D8%8C%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12243%E2%80%AD/data=!4m2!3m1!1s0x3e2f034e3d8ec48f:0xf7b49ea1fe66c622!18m1!1e1?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI2LjIzLjEYACCIJyqBASw5NDI2NzcyNyw5NDI5MjE5NSw5NDI5OTUzMiwxMDA3OTY0OTgsMTAwNzk3NzYxLDEwMDc5NjUzNSw5NDI4MDU3Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxODY1Myw5NDIyOTgzOSw5NDI3NTE2OCw5NDI3OTYxOUICU0E%3D&skid=8db77f2e-f1dd-4620-8afd-456cc56b3d28,لا توجد إحداثيات
أُفق,https://maps.app.goo.gl/pAwnqsNA13hpPfYJ9,https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D9%83%D9%88%D9%86+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%D8%A9+%D9%84%D9%84%D8%B1%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D8%A8%D9%8A%D8%A9%D8%8C+4705+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D8%8C+%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%8A%D8%8C%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12243%E2%80%AD/data=!4m2!3m1!1s0x3e2f034e3d8ec48f:0xf7b49ea1fe66c622!18m1!1e1?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI2LjIzLjEYACCIJyqBASw5NDI2NzcyNyw5NDI5MjE5NSw5NDI5OTUzMiwxMDA3OTY0OTgsMTAwNzk3NzYxLDEwMDc5NjUzNSw5NDI4MDU3Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxODY1Myw5NDIyOTgzOSw5NDI3NTE2OCw5NDI3OTYxOUICU0E%3D&skid=8db77f2e-f1dd-4620-8afd-456cc56b3d28,لا توجد إحداثيات
كَون الحِرف,https://maps.app.goo.gl/DhKAkSfa9Dmf6ciN6,"https://maps.google.com/maps?q=%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D9%83%D9%88%D9%86+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%D8%A9+%D9%84%D9%84%D8%B1%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D8%A8%D9%8A%D8%A9%D8%8C+4705+King+Abdulaziz+Rd%D8%8C+%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%8A%D8%8C,+Riyadh+12243&ftid=0x3e2f034e3d8ec48f:0xf7b49ea1fe66c622&entry=gps&lucs=,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjI5LjEuNzgyOTg1OTc1MBgAIIgnKlosOTQyMjQ4MjUsOTQyMjcyNDcsOTQyMjcyNDgsOTQyMzExODgsNDcwNzE3MDQsNDcwNjk1MDgsOTQyMTg2NDEsOTQyODIxMzQsOTQyMDMwMTksNDcwODQzMDRCAlNB&skid=779f00a4-c006-4954-afd7-009451590e7e",لا توجد إحداثيات
روافد أكمام,https://maps.app.goo.gl/DxM1neWmEDW98niq6,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9+%D8%A8%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D8%B9%D8%A9%E2%80%AD/@24.5904327,46.6467084,18z/data=!4m6!3m5!1s0x3e2f1b75a34579b1:0x397f08e2a94960eb!8m2!3d24.5901397!4d46.6450045!16s%2Fg%2F11gk8swqqv?entry=tts&g_ep=EgoyMDI2MDYxMy4wIPu8ASoASAFQAw%3D%3D&skid=0456cca0-5047-4779-a86b-c7f4450fe0c1","24.5904327, 46.6467084"
وتين,https://maps.app.goo.gl/pz3YCj2CJBgxA5WX7,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D8%A4%D9%85%D9%86%D8%A9+.%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D8%B5%D8%A7%D9%86%D8%B9%D8%8C+%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D8%B5%D8%A7%D9%86%D8%B9%D8%8C+%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF%D9%8A%D8%8C+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6+12794%E2%80%AD/data=!4m2!3m1!1s0x3e2f1aa9dc690c13:0x3210185aeda734d3!18m1!1e1?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI2LjIzLjEYACDXggMqlQEsOTQyNjc3MjcsOTQyOTIxOTUsOTQyOTk1MzIsMTAwNzk2NDk4LDEwMDc5Nzc2MSwxMDA3OTY1MzUsOTQyODA1NzYsOTQyMDczOTQsOTQyMDc1MDYsOTQyMDg1MDYsOTQyMTg2NTMsOTQyMjk4MzksOTQyNzUxNjgsOTQyNzk2MTksMTAwNzkyNTY4LDEwMDgyMDIzN0ICU0E%3D&skid=bb77fdee-a305-4f88-8665-cb273df57040,لا توجد إحداثيات
